text,category,query_length,label
I am still waiting on my card?,card_arrival,30,12
What can I do if my card still hasn't arrived after 2 weeks?,card_arrival,60,12
I have been waiting over a week. Is the card still coming?,card_arrival,58,12
Can I track my card while it is in the process of delivery?,card_arrival,59,12
"How do I know if I will get my card, or if it is lost?",card_arrival,54,12
When did you send me my new card?,card_arrival,33,12
Do you have info about the card on delivery?,card_arrival,44,12
What do I do if I still have not received my new card?,card_arrival,54,12
Does the package with my card have tracking?,card_arrival,44,12
I ordered my card but it still isn't here,card_arrival,41,12
Why has my new card still not come?,card_arrival,35,12
"I still haven't received my card after two weeks, is it lost?",card_arrival,61,12
Can you track my card for me?,card_arrival,29,12
Is there a way to track the delivery of my card?,card_arrival,48,12
It's been a week since I ordered my card and it's not here. Please help?,card_arrival,72,12
Will I be able to track the card that was sent to me?,card_arrival,53,12
I don't have my card in 1 week.  Should I be worried?,card_arrival,53,12
How do I know when my new card is going to arrive?,card_arrival,50,12
My new card has not been delivered to my home yet. What is going on?,card_arrival,68,12
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,93,12
"On the card that is coming, what's the tracking info?",card_arrival,53,12
What is the status of my card's delivery?,card_arrival,41,12
Have you sent out my card yet?,card_arrival,30,12
My card isn't here yet.,card_arrival,23,12
where is my new card?,card_arrival,21,12
It's been a week since you sent my card and I still don't have it.,card_arrival,66,12
How do I track the card you sent me?,card_arrival,36,12
When will I recieve my new card?,card_arrival,32,12
When will I get my new card?,card_arrival,28,12
What is the expected delivery date for my card?,card_arrival,47,12
Is there a tracking number for the card you sent me?,card_arrival,52,12
I would like to track the card you sent to me.,card_arrival,46,12
Has my card been lost in delivery?,card_arrival,34,12
My new card hasn't came in.,card_arrival,27,12
Where is the card I ordered 2 weeks ago?,card_arrival,40,12
Can I get an update on my replacement card?,card_arrival,43,12
How long does it take for a new card to ship?,card_arrival,45,12
What's the tracking on the card you sent?,card_arrival,41,12
I haven't received my card and am worried it is lost.,card_arrival,53,12
My card still hasn't been delivered,card_arrival,35,12
I need to find out where the card is that I ordered.,card_arrival,52,12
Where is my credit card that was to be mailed?,card_arrival,46,12
I ordered my card but it hasn't been delivered yet,card_arrival,50,12
Am I able to track the card that was just sent to me?,card_arrival,53,12
Can you tell me why I haven't received my new card?,card_arrival,51,12
I'm still waiting for my new card.,card_arrival,34,12
Is my card lost? I am still waiting for it to be delivered.,card_arrival,59,12
Should I keep waiting for my card to be delivered?,card_arrival,50,12
Can I track when my card will be delivered?,card_arrival,43,12
How can I check on the status of my new card?,card_arrival,45,12
"A card has been sent to me, how do I track it?",card_arrival,46,12
Is there a way I can get my card expedited?,card_arrival,43,12
What can I do to track the card you sent me?,card_arrival,44,12
why hasnt my card come in yet?,card_arrival,30,12
How can I periodically check the delivery of the card you sent?,card_arrival,63,12
What's the reason my new card hasn't come?,card_arrival,42,12
How long does it take for me to get my new card?,card_arrival,48,12
I don't have my card after 1 week. What are my next steps?,card_arrival,58,12
I know I'm getting a new card but would like know when I can expect to receive it.,card_arrival,82,12
I want to find out what happened to my new card?,card_arrival,48,12
Was there a way for me to get tracking for that?,card_arrival,48,12
I am still waiting for my card.,card_arrival,31,12
My card hasn't arrived.,card_arrival,23,12
Can I track the card you sent to me?,card_arrival,36,12
I haven't gotten my new card.,card_arrival,29,12
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival,103,12
Will I have to wait much longer for my new card to arrive?,card_arrival,58,12
how to track the card you sent,card_arrival,30,12
